Entity,Code,Year,Share of the population using at least basic sanitation
Afghanistan,AFG,2023,53.09094
Albania,ALB,2023,99.29949
Algeria,DZA,2023,85.86704
Andorra,AND,2023,100.0
Antigua and Barbuda,ATG,2023,99.60582
Armenia,ARM,2023,93.56745
Australia,AUS,2023,100.0
Austria,AUT,2023,99.972244
Azerbaijan,AZE,2023,97.94822
Bahrain,BHR,2023,100.0
Bangladesh,BGD,2023,65.63042
Barbados,BRB,2023,98.09246
Belarus,BLR,2023,99.71994
Belgium,BEL,2023,99.48621
Belize,BLZ,2023,84.249725
Benin,BEN,2023,21.54603
Bhutan,BTN,2023,85.299
Bolivia,BOL,2023,70.43354
Botswana,BWA,2023,71.99414
Brazil,BRA,2023,91.712845
Brunei,BRN,2023,100.0
Bulgaria,BGR,2023,86.06626
Burkina Faso,BFA,2023,30.915075
Burundi,BDI,2023,44.64561
Cambodia,KHM,2023,80.3569
Cameroon,CMR,2023,46.622623
Canada,CAN,2023,98.588135
Cape Verde,CPV,2023,83.086945
Central African Republic,CAF,2023,13.93922
Chad,TCD,2023,13.027954
Chile,CHL,2023,100.0
China,CHN,2023,97.241165
Colombia,COL,2023,95.7128
Comoros,COM,2023,56.104836
Cook Islands,COK,2023,98.80523
Costa Rica,CRI,2023,98.61797
Cote d'Ivoire,CIV,2023,39.640743
Cuba,CUB,2023,94.12208
Cyprus,CYP,2023,99.47688
Czechia,CZE,2023,99.07081
Democratic Republic of Congo,COD,2023,16.238682
Denmark,DNK,2023,99.59722
Djibouti,DJI,2023,67.02348
Dominican Republic,DOM,2023,89.61024
East Timor,TLS,2023,70.487724
Ecuador,ECU,2023,90.555695
Egypt,EGY,2023,96.865746
El Salvador,SLV,2023,87.79197
Estonia,EST,2023,99.02204
Eswatini,SWZ,2023,63.867653
Ethiopia,ETH,2023,10.016808
Fiji,FJI,2023,92.7542
Finland,FIN,2023,99.44795
France,FRA,2023,98.64519
Gabon,GAB,2023,57.301632
Gambia,GMB,2023,47.945793
Georgia,GEO,2023,90.04899
Germany,DEU,2023,99.226555
Ghana,GHA,2023,30.304846
